gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
29095,1,3,6/29/2000,1/3/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MERCURY INTERACTIVE CORP,MERQ,589405109,867058,7372,511210
9004,1,3,1/31/1987,1/31/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,REEBOK INTERNATIONAL LTD,RBK,758110100,770949,3021,316211
63180,1,3,5/5/2000,1/31/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SIEBEL SYSTEMS INC,SEBL,826170102,1006835,7372,511210
9483,1,3,3/31/1981,2/26/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SCIENTIFIC-ATLANTA INC,SFA.1,808655104,87777,3663,334220
3734,1,3,3/31/1964,3/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DANA INC,DAN,235811106,26780,3714,336390
7139,1,3,3/31/1964,4/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MAYTAG CORP,MYG.1,578592107,63541,3630,335224
6241,1,3,6/30/1976,4/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JEFFERSON-PILOT CORP,JP.1,475070108,53347,6311,524113
15084,1,3,11/1/1993,4/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BURLINGTON RESOURCES INC,BR.2,122014103,833320,1311,211111
30865,1,3,10/25/1994,4/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CINERGY CORP,DUK6,172474108,899652,4911,22111
3011,1,3,11/24/2000,4/19/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHIRON CORP,CHIR,170040109,706539,2834,325412
31166,1,3,12/19/1996,4/23/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GUIDANT CORP,GDT,401698105,929987,3841,339112
65904,1,3,1/2/2001,5/17/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,APPLIED MICRO CIRCUITS CORP,AMCC,03822W406,711065,3674,334413
1240,1,3,11/30/1984,6/1/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALBERTSON'S INC,ABS.1,13104104,3333,5411,445110
4371,1,3,7/31/1983,6/5/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENGELHARD CORP,EC.2,292845104,352947,2810,3251
6475,1,3,12/31/1975,6/27/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KNIGHT-RIDDER INC,KRI,499040103,205520,2711,511110
3502,1,3,5/1/1990,7/17/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COOPER TIRE & RUBBER CO,CTB,216831107,24491,3011,326211
3278,1,3,5/1/1995,7/31/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVIS BUDGET GROUP INC,CAR,53774105,723612,7510,532111
29345,1,3,4/27/1998,7/31/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GATEWAY INC,GTW,367626108,895812,3571,334111
6403,1,3,10/31/1984,8/10/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KERR-MCGEE CORP,KMG.1,492386107,1141185,1311,211111
1651,1,3,11/30/1984,10/1/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ANDREW CORP,ANDW,34425108,317093,3357,335929
5216,1,3,6/30/1988,10/1/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GOLDEN WEST FINANCIAL CORP,GDW,381317106,42293,6035,522120
1619,1,3,3/10/1999,11/5/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMSOUTH BANCORPORATION,ASO.1,32165102,3133,6020,522110
6821,1,3,12/31/1974,11/9/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOUISIANA-PACIFIC CORP,LPX,546347105,60519,2400,321219
13204,1,3,8/3/2004,11/9/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FISHER SCIENTIFIC INTL INC,FSH.2,338032204,880430,5040,423490
1239,1,3,3/31/1971,11/16/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALBERTO-CULVER CO,ACV.1,13078100,1368457,2844,325620
22260,2,3,9/1/1993,11/19/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HCA HOLDINGS INC,HCA,404119109,860730,8062,622110
62599,1,3,10/1/1996,11/30/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LUCENT TECHNOLOGIES INC,LU,549463107,1006240,7373,541512
15202,1,3,7/17/2002,11/30/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORTH FORK BANCORPORATION,NFB,659424105,352510,6020,522110
157858,2,3,12/3/2004,12/3/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FREESCALE SEMICONDUCTOR INC,BX1,35687M206,1272547,3674,334413
6081,1,3,3/31/1964,12/19/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NAVISTAR INTERNATIONAL CORP,NAV,6.39E+112,808450,3711,336120
18699,1,3,4/3/1997,1/2/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PTC INC,PTC,69370C100,857005,7372,511210
2146,1,3,11/30/1983,1/3/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BELLSOUTH CORP,BLS,79860102,732713,4813,517110
10232,1,3,12/11/2000,1/9/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SYMBOL TECHNOLOGIES,SBL.2,871508107,278352,3577,334119
12884,1,3,10/27/1999,1/31/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COMVERSE TECHNOLOGY INC,CMVT,205862402,803014,7372,511210
65048,1,3,10/10/2001,2/11/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EQUITY OFFICE PROPERTIES TR,EOP,294741103,1038339,6798,525930
14565,1,3,6/1/2000,2/14/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN POWER CONVERSION CP,APCC.,29066107,835910,3620,335999
8470,1,3,3/31/1964,2/21/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PEOPLES ENERGY CORP,PGL.1,711030106,77385,4924,221210
12338,1,3,11/7/2001,3/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HEALTH MANAGEMENT ASSOC,HMA,421933102,792985,8062,622110
8536,1,3,3/31/1964,3/19/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PHELPS DODGE CORP,PD,717265102,78066,3330,331411
31549,1,3,3/25/2004,3/22/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CAREMARK RX INC,CMX.1,141705103,1000736,5912,446110
63669,1,3,2/7/2001,3/28/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNIVISION COMMUNICATIONS INC,5952B,914906102,1017008,4833,515120
63766,1,3,3/16/2000,4/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SABRE HOLDINGS CORP  -CL A,TSG.2,785905100,1020265,7373,541512
174022,1,3,8/1/2006,4/9/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,REALOGY HOLDINGS CORP,RLGY,7.56E+104,1398987,6531,531210
6310,1,3,12/12/2000,5/30/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KINDER MORGAN INC,KMI,49455P101,1506307,4923,486210
24008,1,3,6/16/2000,5/31/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEDIMMUNE INC,MEDI,584699102,873591,2836,325414
7238,1,3,6/30/1976,7/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MELLON FINANCIAL CORP,MEL.3,58551A108,64782,6020,5239
1013,1,3,8/2/1999,7/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ADC TELECOMMUNICATIONS INC,ADCT,886309,61478,3661,334210
28139,1,3,6/21/2000,7/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SANMINA CORP,SANM,801056102,897723,3672,334412
23943,1,3,8/3/2001,7/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PMC-SIERRA INC,PMCS,69344F106,767920,3674,334413
4016,1,3,7/16/1998,7/8/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOLLAR GENERAL CORP,DG,256669102,29534,5331,452990
2230,1,3,8/1/1990,7/11/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BIOMET INC,5938B,90613100,351346,3842,339113
6799,1,3,8/21/2000,8/26/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KEYSPAN CORP,KSE,49337W100,1062379,4931,22111
2849,1,3,12/20/2004,9/6/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BBVA COMPASS BANCSHARES INC,BBVA1,20449H109,1409775,6020,522110
25157,1,3,9/27/1994,9/24/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FIRST DATA CORP,FDC,319963104,883980,7374,518210
14256,1,3,5/10/2000,9/26/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,743316,3674,334413
7648,1,3,1/4/2000,9/30/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NCR CORP,NCR,6.29E+112,70866,3578,334118
17110,1,3,12/31/1998,10/1/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SOLECTRON CORP,SLR,834182107,835541,3672,334412
8787,1,3,12/20/2004,10/7/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ARCHSTONE INC-REDH,ASN,39583109,1555218,6798,531110
10507,1,3,3/31/1964,10/9/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENERGY FUTURE HOLDINGS CORP,0033A,873168108,1023291,4911,2211
5643,1,3,6/30/1970,10/24/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HILTON WORLDWIDE HOLDINGS,HLT,432848109,1585689,7011,721110
139662,1,3,10/2/2000,10/25/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVAYA INC,5933B,53499109,1116521,3663,334220
2085,1,3,5/31/1986,10/28/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAUSCH & LOMB HLDGS  -REDH,6583B,71707103,1416436,2834,325412
24607,1,3,9/28/1998,11/8/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MANOR CARE INC,HCR,564055101,878736,8051,623110
10391,1,3,3/31/1967,11/15/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEKTRONIX INC,TEK.1,879131100,96879,3825,334515
1318,1,3,12/21/1994,11/18/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALLTEL CORP,AT.2,20039103,65873,4812,517212
4062,1,3,6/30/1978,12/13/2007,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOW JONES & CO INC,DJ,260561105,29924,2711,511110
